          BJD|    RV|e_RV|    CRX|e_CRX|   dLW|e_dLW|alpha|alpha|_
2458399.68186|  1.10|1.71| -28.74|15.44| 15.43| 2.52|1.535|0.010|0
2458405.65993|  1.78|4.36|  -9.32|43.86|-43.90|12.93|1.404|0.046|0
2458410.63180|  0.74|5.17| -94.22|38.37|  1.33| 4.01|1.430|0.023|0
2458413.59966| -0.78|1.53|  -9.27|12.55| 17.26| 1.90|1.269|0.006|0
2458421.52970|  3.93|3.92|  28.16|40.01|  3.71| 3.88|1.486|0.029|0
2458427.37889| -2.52|2.10| -28.36|18.95| -7.53| 2.62|1.569|0.013|0
2458433.52158| -1.46|1.61|  -0.17| 8.74|  4.32| 2.00|1.284|0.007|0
2458434.40546| -2.26|2.39| -28.72|24.77| -4.87| 2.86|1.990|0.016|0
2458449.61992|  5.35|4.88| -35.95|17.02| 17.87| 2.66|1.273|0.011|0
2458450.45767| -4.09|1.49|  -8.29| 9.77| 13.26| 1.95|1.326|0.006|0
2458451.48968| -2.93|1.55| -29.66|13.90|  8.91| 1.74|1.487|0.008|0
2458454.39081| -0.80|1.52| -24.36|13.31|  4.36| 1.98|1.213|0.007|0
2458454.61157|  2.95|2.31| -37.17|25.52|-12.98| 6.84|1.415|0.015|0
2458470.39976| -2.97|1.97|  13.03|12.17| -1.64| 1.39|1.650|0.007|0
2458474.40430|  0.81|1.50|  -1.90| 7.90|  5.20| 1.67|1.196|0.005|0
2458475.37777| -3.10|1.77|  16.64|18.67| 51.70|11.61|1.674|0.010|1
2458476.38504| -0.63|1.40|   9.49|10.10| -0.41| 1.33|1.621|0.006|0
2458477.39026|  1.76|1.22|  -1.36|10.23|  9.98| 1.98|1.219|0.008|0
2458478.36957|  0.76|1.28|  -4.59| 9.80| -9.76| 3.20|1.354|0.006|0
2458479.33417|  5.64|2.79| -41.50|29.74|-13.37| 3.38|1.422|0.018|0
2458480.51080| -1.84|1.63|   5.28|10.21| -2.84| 1.33|1.424|0.006|0
2458481.36311| -2.38|2.35| -28.55|17.08|-20.07| 6.28|1.561|0.013|0
2458483.45312| -1.33|2.00| -28.36|15.80|-19.30| 5.40|1.337|0.010|0
2458484.35153|  3.73|1.37|  -8.42| 9.75| -5.30| 1.91|1.184|0.006|1
2458485.35456| -4.54|1.45| -17.24|11.07| -2.44| 1.63|1.455|0.006|0
2458486.36388| -3.06|1.36|  -2.22|11.28| -4.86| 1.78|1.647|0.007|0
2458487.39957|  3.61|1.76| -24.35|14.78|-15.72| 5.07|1.396|0.010|0
2458488.34965|  0.63|1.46| -29.62|12.88| -7.10| 3.86|1.297|0.007|0
2458490.34181| -2.44|1.42| -26.58|10.33| -5.86| 3.53|1.231|0.006|0
2458491.47626| -0.33|1.46| -12.04|12.11| -3.01| 2.33|1.589|0.009|0
2458492.34631|  7.27|3.40| -87.32|37.87|-27.45| 5.68|1.136|0.025|1
2458493.48969|  2.90|1.67|   3.64|17.08|-16.89| 6.37|2.824|0.020|0
2458496.34301| -2.01|1.40| -12.20|11.02|  0.46| 3.50|1.228|0.006|0
2458498.46246|  4.54|1.17|  19.74| 8.38| 10.21| 1.55|1.270|0.006|0
2458511.42774|  4.50|4.30| -57.77|50.84|-11.39| 3.99|1.189|0.033|0
2458518.41765| -0.06|6.92| -30.38|86.19|-17.21| 6.21|1.264|0.050|0
2458525.41433|  2.93|2.36| -41.41|22.44| -5.60| 2.62|1.125|0.012|0
2458528.37952| -1.70|1.24|  -4.02| 9.43| -7.21| 1.45|1.313|0.006|0
2458529.38557| -3.67|1.16| -10.71| 9.56| -1.91| 1.66|1.420|0.006|0
2458531.39690|  1.08|2.01| -43.60|18.83| 27.79| 7.39|2.006|0.015|0
2458532.38802|  2.89|1.87| -31.33|18.22| 13.80| 4.19|1.946|0.014|0
2458534.37035| -0.52|1.67| -23.67|16.28| 31.59| 6.64|2.357|0.013|0
2458535.36254|  1.07|1.68| -30.49|16.69| 19.12| 3.18|1.499|0.010|0
2458537.37009|  2.96|1.97| -20.13|20.76|  2.81| 1.93|2.050|0.015|0
2458540.34986| -5.03|1.93| -25.91|16.48| 13.50| 2.28|1.687|0.010|0
2458541.34027|  0.98|1.89|  21.83|17.55|  5.70| 2.78|1.511|0.012|0
2458542.35452| -3.39|1.65|   9.50|15.78|  9.12| 2.35|2.179|0.011|0
2458546.34437|  1.87|1.49| -25.34|11.73| 17.11| 2.59|1.442|0.007|0
2458554.33741| -0.98|1.95| -37.29|18.30| 48.37| 5.88|1.412|0.010|0
2458555.33436|  0.46|1.94|  -9.61|16.70| 25.06| 2.97|1.830|0.013|0
